id	name	category
CAS-RN:68876-77-7	Baker's yeast	biolink:ChemicalEntity
CHEBI:86158	CaCl2 x 2 H2O	biolink:ChemicalEntity
CHEBI:17439	Vitamin B12	biolink:ChemicalEntity
CHEBI:2509	Agar	biolink:ChemicalEntity
CHEBI:15377	Distilled water	biolink:ChemicalEntity
mediadive.medium:9a	VY/2, REDUCED MEDIUM	biolink:ChemicalEntity
mediadive.solution:10	Main sol. 9a	biolink:ChemicalEntity
CAS-RN:68876-77-7	Baker's yeast	biolink:ChemicalEntity
CHEBI:86158	CaCl2 x 2 H2O	biolink:ChemicalEntity
CHEBI:17439	Vitamin B12	biolink:ChemicalEntity
CHEBI:2509	Agar	biolink:ChemicalEntity
CHEBI:15377	Distilled water	biolink:ChemicalEntity
mediadive.medium:10	ZYMOMONAS MEDIUM	biolink:ChemicalEntity
mediadive.solution:11	Main sol. 10	biolink:ChemicalEntity
CAS-RN:51142-18-8	Bacto peptone	biolink:ChemicalEntity
CAS-RN:8013-01-2	Yeast extract	biolink:ChemicalEntity
CHEBI:17234	Glucose	biolink:ChemicalEntity
CHEBI:2509	Agar	biolink:ChemicalEntity
CHEBI:15377	Distilled water	biolink:ChemicalEntity
mediadive.medium:11	MRS MEDIUM	biolink:ChemicalEntity
mediadive.solution:12	Main sol. 11	biolink:ChemicalEntity
CAS-RN:91079-40-2	Casein peptone	biolink:ChemicalEntity
mediadive.ingredient:2	Meat extract	biolink:ChemicalEntity
CAS-RN:8013-01-2	Yeast extract	biolink:ChemicalEntity
CHEBI:17234	Glucose	biolink:ChemicalEntity
CHEBI:53426	Tween 80	biolink:ChemicalEntity
CHEBI:131527	K2HPO4	biolink:ChemicalEntity
CHEBI:32954	Na-acetate	biolink:ChemicalEntity
CHEBI:63037	(NH4)3 citrate	biolink:ChemicalEntity
CHEBI:31795	MgSO4 x 7 H2O	biolink:ChemicalEntity
CHEBI:86364	MnSO4 x H2O	biolink:ChemicalEntity
CHEBI:15377	Distilled water	biolink:ChemicalEntity
mediadive.medium:11a	MODIFIED MEDIUM 11	biolink:ChemicalEntity
mediadive.solution:13	Main sol. 11a	biolink:ChemicalEntity
mediadive.solution:12	Main sol. 11	biolink:ChemicalEntity
mediadive.solution:5629	Vitamin solution	biolink:ChemicalEntity
mediadive.solution:12	Main sol. 11	biolink:ChemicalEntity
mediadive.solution:5629	Vitamin solution	biolink:ChemicalEntity
CAS-RN:91079-40-2	Casein peptone	biolink:ChemicalEntity
mediadive.ingredient:2	Meat extract	biolink:ChemicalEntity
CAS-RN:8013-01-2	Yeast extract	biolink:ChemicalEntity
CHEBI:17234	Glucose	biolink:ChemicalEntity
CHEBI:53426	Tween 80	biolink:ChemicalEntity
CHEBI:131527	K2HPO4	biolink:ChemicalEntity
CHEBI:32954	Na-acetate	biolink:ChemicalEntity
CHEBI:63037	(NH4)3 citrate	biolink:ChemicalEntity
CHEBI:31795	MgSO4 x 7 H2O	biolink:ChemicalEntity
CHEBI:86364	MnSO4 x H2O	biolink:ChemicalEntity
CHEBI:15377	Distilled water	biolink:ChemicalEntity
CHEBI:15956	Biotin	biolink:ChemicalEntity
CHEBI:27470	Folic acid	biolink:ChemicalEntity
CHEBI:30961	Pyridoxine hydrochloride	biolink:ChemicalEntity
CHEBI:132751	Thiamine-HCl x 2 H2O	biolink:ChemicalEntity
CHEBI:17015	Riboflavin	biolink:ChemicalEntity
CHEBI:15940	Nicotinic acid	biolink:ChemicalEntity
CHEBI:31345	Calcium pantothenate	biolink:ChemicalEntity
CHEBI:30753	p-Aminobenzoic acid	biolink:ChemicalEntity
CHEBI:17439	Vitamin B12	biolink:ChemicalEntity
mediadive.medium:11b	MRS MEDIUM (pre-reduced)	biolink:ChemicalEntity
mediadive.solution:14	Main sol. 11b	biolink:ChemicalEntity
CAS-RN:91079-40-2	Casein peptone	biolink:ChemicalEntity
mediadive.ingredient:2	Meat extract	biolink:ChemicalEntity
CAS-RN:8013-01-2	Yeast extract	biolink:ChemicalEntity
CHEBI:17234	Glucose	biolink:ChemicalEntity
CHEBI:53426	Tween 80	biolink:ChemicalEntity
CHEBI:8806	Resazurin	biolink:ChemicalEntity
CHEBI:131527	K2HPO4	biolink:ChemicalEntity
CHEBI:32954	Na-acetate	biolink:ChemicalEntity
CHEBI:63037	(NH4)3 citrate	biolink:ChemicalEntity
CHEBI:31795	MgSO4 x 7 H2O	biolink:ChemicalEntity
CHEBI:86364	MnSO4 x H2O	biolink:ChemicalEntity
CHEBI:15377	Distilled water	biolink:ChemicalEntity
CHEBI:91248	L-Cysteine HCl x H2O	biolink:ChemicalEntity
mediadive.medium:12	SOIL EXTRACT MEDIUM	biolink:ChemicalEntity
mediadive.solution:15	Main sol. 12	biolink:ChemicalEntity
mediadive.ingredient:2083	air-dried garden soil	biolink:ChemicalEntity
CHEBI:15377	Tap water	biolink:ChemicalEntity
CHEBI:2509	Agar	biolink:ChemicalEntity
mediadive.medium:13	BACILLUS ACIDOCALDARIUS MEDIUM	biolink:ChemicalEntity
mediadive.solution:16	Main sol. 13	biolink:ChemicalEntity
mediadive.solution:17	Solution A	biolink:ChemicalEntity
mediadive.solution:18	Solution B	biolink:ChemicalEntity
mediadive.solution:17	Solution A	biolink:ChemicalEntity
mediadive.solution:18	Solution B	biolink:ChemicalEntity
CAS-RN:8013-01-2	Yeast extract	biolink:ChemicalEntity
CHEBI:62946	(NH4)2SO4	biolink:ChemicalEntity
CHEBI:31795	MgSO4 x 7 H2O	biolink:ChemicalEntity
CHEBI:86158	CaCl2 x 2 H2O	biolink:ChemicalEntity
CHEBI:63036	KH2PO4	biolink:ChemicalEntity
CHEBI:15377	Distilled water	biolink:ChemicalEntity
CHEBI:17234	Glucose	biolink:ChemicalEntity
CHEBI:2509	Agar	biolink:ChemicalEntity
mediadive.medium:14	CLOSTRIDIUM FORMICACETICUM MEDIUM	biolink:ChemicalEntity
mediadive.solution:19	Main sol. 14	biolink:ChemicalEntity
mediadive.solution:20	Trace element solution SL-4	biolink:ChemicalEntity
CAS-RN:8013-01-2	Yeast extract	biolink:ChemicalEntity
CHEBI:131527	K2HPO4	biolink:ChemicalEntity
mediadive.solution:20	Trace element solution SL-4	biolink:ChemicalEntity
CHEBI:30961	Pyridoxine hydrochloride	biolink:ChemicalEntity
CHEBI:86481	Na-thioglycolate	biolink:ChemicalEntity
CAS-RN:62758-13-8	Sodium resazurin	biolink:ChemicalEntity
CHEBI:29377	Na2CO3	biolink:ChemicalEntity
CHEBI:15824	D-Fructose	biolink:ChemicalEntity
CHEBI:2509	Agar	biolink:ChemicalEntity
CHEBI:15377	Distilled water	biolink:ChemicalEntity
CHEBI:64734	Na2-EDTA	biolink:ChemicalEntity
CHEBI:75836	FeSO4 x 7 H2O	biolink:ChemicalEntity
CHEBI:32312	ZnSO4 x 7 H2O	biolink:ChemicalEntity
CHEBI:86368	MnCl2 x 4 H2O	biolink:ChemicalEntity
CHEBI:33118	H3BO3	biolink:ChemicalEntity
CHEBI:35696	CoCl2 x 6 H2O	biolink:ChemicalEntity
CHEBI:86318	CuCl2 x 2 H2O	biolink:ChemicalEntity
CHEBI:34887	NiCl2 x 6 H2O	biolink:ChemicalEntity
CHEBI:75213	Na2MoO4 x 2 H2O	biolink:ChemicalEntity
mediadive.medium:21	SARCINA MEDIUM	biolink:ChemicalEntity
mediadive.solution:21	Main sol. 21	biolink:ChemicalEntity
CHEBI:17234	Glucose	biolink:ChemicalEntity
CAS-RN:73049-73-7	Peptone	biolink:ChemicalEntity
CAS-RN:8013-01-2	Yeast extract	biolink:ChemicalEntity
CHEBI:15377	Distilled water	biolink:ChemicalEntity
mediadive.medium:25	RHODOPSEUDOMONAS GLOBIFORMIS MEDIUM	biolink:ChemicalEntity
mediadive.solution:22	Main sol. 25	biolink:ChemicalEntity
mediadive.solution:25	Trace element solution SL-6	biolink:ChemicalEntity
CAS-RN:8013-01-2	Yeast extract	biolink:ChemicalEntity
CHEBI:29864	Mannitol	biolink:ChemicalEntity
CHEBI:84997	Na-gluconate	biolink:ChemicalEntity
CHEBI:63036	KH2PO4	biolink:ChemicalEntity
CHEBI:31795	MgSO4 x 7 H2O	biolink:ChemicalEntity
CHEBI:31206	NH4Cl	biolink:ChemicalEntity
CHEBI:26710	NaCl	biolink:ChemicalEntity
CHEBI:86158	CaCl2 x 2 H2O	biolink:ChemicalEntity
mediadive.solution:25	Trace element solution SL-6	biolink:ChemicalEntity
CHEBI:15377	Distilled water	biolink:ChemicalEntity
CHEBI:144421	Fe(III) citrate	biolink:ChemicalEntity
CHEBI:15956	Biotin	biolink:ChemicalEntity
CHEBI:30753	p-Aminobenzoic acid	biolink:ChemicalEntity
CHEBI:32150	Sodium thiosulfate pentahydrate	biolink:ChemicalEntity
CHEBI:32312	ZnSO4 x 7 H2O	biolink:ChemicalEntity
CHEBI:86368	MnCl2 x 4 H2O	biolink:ChemicalEntity
CHEBI:33118	H3BO3	biolink:ChemicalEntity
CHEBI:35696	CoCl2 x 6 H2O	biolink:ChemicalEntity
CHEBI:86318	CuCl2 x 2 H2O	biolink:ChemicalEntity
CHEBI:34887	NiCl2 x 6 H2O	biolink:ChemicalEntity
CHEBI:75213	Na2MoO4 x 2 H2O	biolink:ChemicalEntity
mediadive.medium:26	ACID RHODOSPIRILLACEAE MEDIUM	biolink:ChemicalEntity
mediadive.solution:5551	Main sol. 26	biolink:ChemicalEntity
mediadive.solution:25	Trace element solution SL-6	biolink:ChemicalEntity
CAS-RN:8013-01-2	Yeast extract	biolink:ChemicalEntity
CHEBI:63675	Disodium succinate	biolink:ChemicalEntity
CHEBI:62947	Ammonium acetate	biolink:ChemicalEntity
CHEBI:144421	Fe(III) citrate	biolink:ChemicalEntity
CHEBI:63036	KH2PO4	biolink:ChemicalEntity
CHEBI:31795	MgSO4 x 7 H2O	biolink:ChemicalEntity
CHEBI:26710	NaCl	biolink:ChemicalEntity
CHEBI:31206	NH4Cl	biolink:ChemicalEntity
CHEBI:86158	CaCl2 x 2 H2O	biolink:ChemicalEntity
CHEBI:17439	Vitamin B12	biolink:ChemicalEntity
mediadive.solution:25	Trace element solution SL-6	biolink:ChemicalEntity
CHEBI:52891	L-Cysteine HCl	biolink:ChemicalEntity
CHEBI:8806	Resazurin	biolink:ChemicalEntity
CHEBI:15377	Distilled water	biolink:ChemicalEntity
CHEBI:32312	ZnSO4 x 7 H2O	biolink:ChemicalEntity
CHEBI:86368	MnCl2 x 4 H2O	biolink:ChemicalEntity
CHEBI:33118	H3BO3	biolink:ChemicalEntity
CHEBI:35696	CoCl2 x 6 H2O	biolink:ChemicalEntity
CHEBI:86318	CuCl2 x 2 H2O	biolink:ChemicalEntity
CHEBI:34887	NiCl2 x 6 H2O	biolink:ChemicalEntity
CHEBI:75213	Na2MoO4 x 2 H2O	biolink:ChemicalEntity
mediadive.medium:27	RHODOSPIRILLACEAE MEDIUM (modified)	biolink:ChemicalEntity
mediadive.solution:24	Main sol. 27	biolink:ChemicalEntity
mediadive.solution:25	Trace element solution SL-6	biolink:ChemicalEntity
CAS-RN:8013-01-2	Yeast extract	biolink:ChemicalEntity
CHEBI:63675	Disodium succinate	biolink:ChemicalEntity
CHEBI:62947	Ammonium acetate	biolink:ChemicalEntity
CHEBI:144421	Fe(III) citrate	biolink:ChemicalEntity
CHEBI:63036	KH2PO4	biolink:ChemicalEntity
CHEBI:31795	MgSO4 x 7 H2O	biolink:ChemicalEntity
CHEBI:26710	NaCl	biolink:ChemicalEntity
CHEBI:31206	NH4Cl	biolink:ChemicalEntity
CHEBI:86158	CaCl2 x 2 H2O	biolink:ChemicalEntity
CHEBI:17439	Vitamin B12	biolink:ChemicalEntity
mediadive.solution:25	Trace element solution SL-6	biolink:ChemicalEntity
CHEBI:52891	L-Cysteine HCl	biolink:ChemicalEntity
CHEBI:8806	Resazurin	biolink:ChemicalEntity
CHEBI:15377	Distilled water	biolink:ChemicalEntity
CHEBI:32312	ZnSO4 x 7 H2O	biolink:ChemicalEntity
CHEBI:86368	MnCl2 x 4 H2O	biolink:ChemicalEntity
CHEBI:33118	H3BO3	biolink:ChemicalEntity
CHEBI:35696	CoCl2 x 6 H2O	biolink:ChemicalEntity
CHEBI:86318	CuCl2 x 2 H2O	biolink:ChemicalEntity
CHEBI:34887	NiCl2 x 6 H2O	biolink:ChemicalEntity
CHEBI:75213	Na2MoO4 x 2 H2O	biolink:ChemicalEntity
mediadive.medium:28	PFENNIG'S MEDIUM I 	biolink:ChemicalEntity
mediadive.solution:26	Main sol. 28	biolink:ChemicalEntity
mediadive.solution:27	Solution A	biolink:ChemicalEntity
mediadive.solution:28	Sulfide solution, 1.5%	biolink:ChemicalEntity
mediadive.solution:29	Bicarbonate solution	biolink:ChemicalEntity
mediadive.solution:30	Resazurin solution	biolink:ChemicalEntity
mediadive.solution:31	Pfennig's heterotrophic salts solution	biolink:ChemicalEntity
mediadive.solution:32	Vitamin B12 solution	biolink:ChemicalEntity
mediadive.solution:33	Trace element solution SL-12 B	biolink:ChemicalEntity
mediadive.solution:34	Neutralized sulfide solution 3% (w/v)	biolink:ChemicalEntity
mediadive.solution:27	Solution A	biolink:ChemicalEntity
mediadive.solution:30	Resazurin solution	biolink:ChemicalEntity
mediadive.solution:29	Bicarbonate solution	biolink:ChemicalEntity
mediadive.solution:31	Pfennig's heterotrophic salts solution	biolink:ChemicalEntity
mediadive.solution:28	Sulfide solution, 1.5%	biolink:ChemicalEntity
mediadive.solution:32	Vitamin B12 solution	biolink:ChemicalEntity
mediadive.solution:34	Neutralized sulfide solution 3% (w/v)	biolink:ChemicalEntity
CHEBI:86158	CaCl2 x 2 H2O	biolink:ChemicalEntity
CAS-RN:8013-01-2	Yeast extract	biolink:ChemicalEntity
CHEBI:15377	Distilled water	biolink:ChemicalEntity
CHEBI:76209	Na2S x 9 H2O	biolink:ChemicalEntity
CHEBI:32139	NaHCO3	biolink:ChemicalEntity
CHEBI:15377	H2O	biolink:ChemicalEntity
CHEBI:8806	Resazurin	biolink:ChemicalEntity
CHEBI:31206	Ammonium chloride	biolink:ChemicalEntity
CHEBI:62947	Ammonium acetate	biolink:ChemicalEntity
CHEBI:113246	Pyruvic acid sodium salt	biolink:ChemicalEntity
CHEBI:4167	Dextrose	biolink:ChemicalEntity
CHEBI:31795	MgSO4 x 7 H2O	biolink:ChemicalEntity
CHEBI:32588	KCl	biolink:ChemicalEntity
CHEBI:63036	KH2PO4	biolink:ChemicalEntity
mediadive.solution:33	Trace element solution SL-12 B	biolink:ChemicalEntity
CHEBI:17439	Vitamin B12	biolink:ChemicalEntity
CHEBI:64734	Na2-EDTA	biolink:ChemicalEntity
CHEBI:75836	FeSO4 x 7 H2O	biolink:ChemicalEntity
CHEBI:35696	CoCl2 x 6 H2O	biolink:ChemicalEntity
CAS-RN:20603-88-7	MnCl2 x 2 H2O	biolink:ChemicalEntity
CHEBI:49976	ZnCl2	biolink:ChemicalEntity
CHEBI:34887	NiCl2 x 6 H2O	biolink:ChemicalEntity
CHEBI:75213	Na2MoO4 x 2 H2O	biolink:ChemicalEntity
CHEBI:33118	H3BO3	biolink:ChemicalEntity
CHEBI:86318	CuCl2 x 2 H2O	biolink:ChemicalEntity
mediadive.medium:28a	THIORHODOCOCCUS MEDIUM	biolink:ChemicalEntity
mediadive.solution:35	Main sol. 28a	biolink:ChemicalEntity
mediadive.solution:26	Main sol. 28	biolink:ChemicalEntity
mediadive.solution:34	Neutralized sulfide solution 3% (w/v)	biolink:ChemicalEntity
mediadive.solution:26	Main sol. 28	biolink:ChemicalEntity
CHEBI:26710	NaCl	biolink:ChemicalEntity
CHEBI:86345	MgCl2 x 6 H2O	biolink:ChemicalEntity
CHEBI:132112	Sodium Thiosulfate	biolink:ChemicalEntity
mediadive.solution:27	Solution A	biolink:ChemicalEntity
mediadive.solution:30	Resazurin solution	biolink:ChemicalEntity
mediadive.solution:29	Bicarbonate solution	biolink:ChemicalEntity
mediadive.solution:31	Pfennig's heterotrophic salts solution	biolink:ChemicalEntity
mediadive.solution:28	Sulfide solution, 1.5%	biolink:ChemicalEntity
mediadive.solution:32	Vitamin B12 solution	biolink:ChemicalEntity
mediadive.solution:34	Neutralized sulfide solution 3% (w/v)	biolink:ChemicalEntity
CHEBI:76209	Na2S x 9 H2O	biolink:ChemicalEntity
CHEBI:15377	Distilled water	biolink:ChemicalEntity
mediadive.medium:28b	THIORHODOCOCCUS MEDIUM II	biolink:ChemicalEntity
mediadive.solution:36	Main sol. 28b	biolink:ChemicalEntity
mediadive.solution:26	Main sol. 28	biolink:ChemicalEntity
mediadive.solution:34	Neutralized sulfide solution 3% (w/v)	biolink:ChemicalEntity
mediadive.solution:26	Main sol. 28	biolink:ChemicalEntity
CHEBI:26710	NaCl	biolink:ChemicalEntity
CHEBI:32150	Na2S2O3 x 5 H2O	biolink:ChemicalEntity
CHEBI:86345	MgCl2 x 6 H2O	biolink:ChemicalEntity
mediadive.solution:27	Solution A	biolink:ChemicalEntity
mediadive.solution:30	Resazurin solution	biolink:ChemicalEntity
mediadive.solution:29	Bicarbonate solution	biolink:ChemicalEntity
mediadive.solution:31	Pfennig's heterotrophic salts solution	biolink:ChemicalEntity
mediadive.solution:28	Sulfide solution, 1.5%	biolink:ChemicalEntity
mediadive.solution:32	Vitamin B12 solution	biolink:ChemicalEntity
mediadive.solution:34	Neutralized sulfide solution 3% (w/v)	biolink:ChemicalEntity
CHEBI:76209	Na2S x 9 H2O	biolink:ChemicalEntity
CHEBI:15377	Distilled water	biolink:ChemicalEntity
mediadive.medium:29	PFENNIG'S MEDIUM II	biolink:ChemicalEntity
mediadive.solution:37	Main sol. 29	biolink:ChemicalEntity
mediadive.solution:38	Solution A	biolink:ChemicalEntity
mediadive.solution:39	Solution B	biolink:ChemicalEntity
mediadive.solution:40	Solution C	biolink:ChemicalEntity
mediadive.solution:41	Solution D	biolink:ChemicalEntity
mediadive.solution:42	Solution E	biolink:ChemicalEntity
mediadive.solution:43	Solution F	biolink:ChemicalEntity
mediadive.solution:34	Neutralized sulfide solution 3% (w/v)	biolink:ChemicalEntity
mediadive.solution:5536	Trace element solution SL-10 B	biolink:ChemicalEntity
mediadive.solution:38	Solution A	biolink:ChemicalEntity
mediadive.solution:39	Solution B	biolink:ChemicalEntity
mediadive.solution:40	Solution C	biolink:ChemicalEntity
mediadive.solution:41	Solution D	biolink:ChemicalEntity
mediadive.solution:42	Solution E	biolink:ChemicalEntity
mediadive.solution:43	Solution F	biolink:ChemicalEntity
CHEBI:86158	CaCl2 x 2 H2O	biolink:ChemicalEntity
CAS-RN:8013-01-2	Yeast extract	biolink:ChemicalEntity
CHEBI:15377	Distilled water	biolink:ChemicalEntity
CHEBI:32139	NaHCO3	biolink:ChemicalEntity
CHEBI:15377	H2O	biolink:ChemicalEntity
CHEBI:8806	Resazurin	biolink:ChemicalEntity
CHEBI:31206	Ammonium chloride	biolink:ChemicalEntity
CHEBI:62947	Ammonium acetate	biolink:ChemicalEntity
CHEBI:113246	Pyruvic acid sodium salt	biolink:ChemicalEntity
CHEBI:4167	Dextrose	biolink:ChemicalEntity
CHEBI:31795	MgSO4 x 7 H2O	biolink:ChemicalEntity
CHEBI:32588	KCl	biolink:ChemicalEntity
CHEBI:63036	KH2PO4	biolink:ChemicalEntity
mediadive.solution:5536	Trace element solution SL-10 B	biolink:ChemicalEntity
CHEBI:17439	Vitamin B12	biolink:ChemicalEntity
CHEBI:76209	Na2S x 9 H2O	biolink:ChemicalEntity
CHEBI:17883	HCl	biolink:ChemicalEntity
CHEBI:75836	FeSO4 x 7 H2O	biolink:ChemicalEntity
CHEBI:49976	ZnCl2	biolink:ChemicalEntity
CHEBI:86368	MnCl2 x 4 H2O	biolink:ChemicalEntity
CHEBI:33118	H3BO3	biolink:ChemicalEntity
CHEBI:35696	CoCl2 x 6 H2O	biolink:ChemicalEntity
CHEBI:86318	CuCl2 x 2 H2O	biolink:ChemicalEntity
CHEBI:34887	NiCl2 x 6 H2O	biolink:ChemicalEntity
CHEBI:75213	Na2MoO4 x 2 H2O	biolink:ChemicalEntity
mediadive.medium:29a	MEDIUM FOR CHLOROBIUM FERROOXIDANS	biolink:ChemicalEntity
mediadive.solution:5591	Main sol. 29a	biolink:ChemicalEntity
mediadive.solution:38	Solution A	biolink:ChemicalEntity
mediadive.solution:39	Solution B	biolink:ChemicalEntity
mediadive.solution:40	Solution C	biolink:ChemicalEntity
mediadive.solution:41	Solution D	biolink:ChemicalEntity
mediadive.solution:42	Solution E	biolink:ChemicalEntity
mediadive.solution:43	Solution F	biolink:ChemicalEntity
mediadive.solution:5536	Trace element solution SL-10 B	biolink:ChemicalEntity
mediadive.solution:38	Solution A	biolink:ChemicalEntity
mediadive.solution:39	Solution B	biolink:ChemicalEntity
mediadive.solution:40	Solution C	biolink:ChemicalEntity
mediadive.solution:41	Solution D	biolink:ChemicalEntity
mediadive.solution:42	Solution E	biolink:ChemicalEntity
mediadive.solution:43	Solution F	biolink:ChemicalEntity
CAS-RN:71-52-3	Bicarbonate	biolink:ChemicalEntity
CHEBI:75832	FeSO4	biolink:ChemicalEntity
CHEBI:30089	Acetate	biolink:ChemicalEntity
CHEBI:86158	CaCl2 x 2 H2O	biolink:ChemicalEntity
CAS-RN:8013-01-2	Yeast extract	biolink:ChemicalEntity
CHEBI:15377	Distilled water	biolink:ChemicalEntity
CHEBI:32139	NaHCO3	biolink:ChemicalEntity
CHEBI:15377	H2O	biolink:ChemicalEntity
CHEBI:8806	Resazurin	biolink:ChemicalEntity
CHEBI:31206	Ammonium chloride	biolink:ChemicalEntity
CHEBI:62947	Ammonium acetate	biolink:ChemicalEntity
CHEBI:113246	Pyruvic acid sodium salt	biolink:ChemicalEntity
CHEBI:4167	Dextrose	biolink:ChemicalEntity
CHEBI:31795	MgSO4 x 7 H2O	biolink:ChemicalEntity
CHEBI:32588	KCl	biolink:ChemicalEntity
CHEBI:63036	KH2PO4	biolink:ChemicalEntity
mediadive.solution:5536	Trace element solution SL-10 B	biolink:ChemicalEntity
CHEBI:17439	Vitamin B12	biolink:ChemicalEntity
CHEBI:17883	HCl	biolink:ChemicalEntity
CHEBI:75836	FeSO4 x 7 H2O	biolink:ChemicalEntity
CHEBI:49976	ZnCl2	biolink:ChemicalEntity
CHEBI:86368	MnCl2 x 4 H2O	biolink:ChemicalEntity
CHEBI:33118	H3BO3	biolink:ChemicalEntity
CHEBI:35696	CoCl2 x 6 H2O	biolink:ChemicalEntity
CHEBI:86318	CuCl2 x 2 H2O	biolink:ChemicalEntity
CHEBI:34887	NiCl2 x 6 H2O	biolink:ChemicalEntity
CHEBI:75213	Na2MoO4 x 2 H2O	biolink:ChemicalEntity
mediadive.medium:31	ALKALINE NUTRIENT AGAR	biolink:ChemicalEntity
mediadive.solution:5552	Main sol. 31	biolink:ChemicalEntity
mediadive.solution:46	Na-sesquicarbonate solution	biolink:ChemicalEntity
CAS-RN:73049-73-7	Peptone	biolink:ChemicalEntity
mediadive.ingredient:2	Meat extract	biolink:ChemicalEntity
CHEBI:2509	Agar	biolink:ChemicalEntity
CHEBI:15377	Distilled water	biolink:ChemicalEntity
mediadive.solution:46	Na-sesquicarbonate solution	biolink:ChemicalEntity
CHEBI:32139	NaHCO3	biolink:ChemicalEntity
CHEBI:29377	Na2CO3 anhydrous	biolink:ChemicalEntity
mediadive.medium:32	PHOTOBACTERIUM MEDIUM	biolink:ChemicalEntity
mediadive.solution:47	Main sol. 32	biolink:ChemicalEntity
mediadive.ingredient:423	Sea Salt	biolink:ChemicalEntity
CAS-RN:8013-01-2	Yeast extract	biolink:ChemicalEntity
CAS-RN:91079-40-2	Tryptone	biolink:ChemicalEntity
CHEBI:17754	Glycerol	biolink:ChemicalEntity
CHEBI:9754	Tris	biolink:ChemicalEntity
CHEBI:31206	NH4Cl	biolink:ChemicalEntity
